clicks,time_spent,searches,bookmarks,category
85,7,40,71,Agriculture
22,4,16,48,Tourism
65,28,75,78,History
26,46,45,16,Education
1,67,31,59,Research_and_Development
89,75,78,86,Agriculture
16,44,79,87,Architecture
32,1,53,44,Medicine
8,26,85,82,Architecture
42,94,91,68,Art_and_Culture
47,35,19,31,Defence
38,35,32,43,Transport
92,25,73,64,Agriculture
41,42,39,86,History
25,26,31,7,Forestry
98,68,96,76,Agriculture
49,19,1,71,Space
24,10,96,86,Architecture
23,73,32,42,Research_and_Development
12,37,76,0,Architecture
59,5,29,50,Defence
6,71,32,23,Research_and_Development
56,22,76,98,Architecture
35,46,25,23,Education
44,89,21,16,Art_and_Culture
19,45,65,4,Science_and_Technology
64,11,37,19,Finance
7,89,89,20,Art_and_Culture
15,12,45,57,Tourism
13,61,14,30,Research_and_Development
75,81,97,99,Art_and_Culture
86,88,43,10,Agriculture
14,96,48,51,Art_and_Culture
91,59,74,14,Agriculture
97,42,60,82,Agriculture
65,75,66,6,Finance
31,99,5,27,Art_and_Culture
86,67,8,50,Agriculture
62,4,5,57,Finance
85,36,72,4,Agriculture
50,71,94,4,Architecture
24,91,31,93,Art_and_Culture
57,30,40,95,History
62,8,75,7,Finance
61,50,7,63,Finance
21,28,71,9,Science_and_Technology
57,77,49,37,Art_and_Culture
57,39,91,95,Architecture
85,40,61,91,Agriculture
48,85,83,80,Art_and_Culture
51,10,61,94,History
41,22,6,7,Transport
69,0,74,24,Finance
14,45,83,72,Architecture
53,20,79,65,Architecture
59,89,3,78,Art_and_Culture
96,35,5,49,Agriculture
7,53,57,66,Space
52,86,21,48,Art_and_Culture
59,56,25,35,Defence
4,0,2,67,Space
67,62,40,77,History
5,53,59,40,Education
95,54,13,88,Agriculture
93,39,74,61,Agriculture
46,14,81,9,Architecture
98,20,11,20,Agriculture
54,46,86,35,Architecture
39,72,11,11,Research_and_Development
51,52,12,90,History
15,8,24,1,Handlooms
12,73,44,12,Research_and_Development
29,51,18,52,Education
18,56,54,31,Education
16,25,99,94,Architecture
62,40,44,15,Finance
18,34,7,31,Energy
91,62,92,31,Agriculture
57,24,52,97,History
54,89,54,10,Art_and_Culture
89,74,31,9,Agriculture
89,37,50,14,Agriculture
61,1,43,16,Finance
22,6,81,39,Architecture
8,81,69,17,Art_and_Culture
11,90,17,54,Art_and_Culture
0,33,82,72,Architecture
57,90,21,24,Art_and_Culture
0,16,36,58,Tourism
33,42,95,77,Architecture
95,58,55,88,Agriculture
47,50,58,21,Defence
88,53,2,29,Agriculture
0,23,27,83,History
15,24,73,84,History
60,70,34,43,Research_and_Development
63,51,60,31,Finance
62,69,92,50,Architecture
68,87,53,45,Art_and_Culture
21,32,62,20,Science_and_Technology
92,48,78,98,Agriculture
66,28,96,31,Architecture
75,62,6,93,History
25,21,75,38,Science_and_Technology
15,25,48,11,Medicine
50,27,93,46,Architecture
85,84,84,17,Agriculture
56,48,30,20,Defence
28,70,57,12,Research_and_Development
77,80,60,20,Agriculture
91,83,23,7,Agriculture
68,48,19,45,Finance
46,19,36,6,Defence
93,85,3,22,Agriculture
61,91,91,95,Art_and_Culture
68,62,19,74,Finance
75,60,59,85,History
15,48,23,21,Education
89,70,49,88,Agriculture
89,0,48,21,Agriculture
47,95,50,91,Art_and_Culture
84,12,95,28,Agriculture
38,93,35,12,Art_and_Culture
99,86,97,81,Agriculture
32,50,99,1,Architecture
93,55,65,28,Agriculture
22,82,78,84,Art_and_Culture
9,61,33,78,History
68,31,35,51,Finance
99,29,5,26,Agriculture
33,28,38,49,Tourism
51,48,41,94,History
94,44,57,78,Agriculture
9,92,11,22,Art_and_Culture
18,29,2,87,History
57,15,17,43,Defence
95,39,39,76,Agriculture
0,18,20,21,Handlooms
68,17,14,42,Finance
3,0,96,36,Architecture
15,77,98,60,Art_and_Culture
23,46,25,96,History
79,65,7,55,Agriculture
1,91,99,2,Art_and_Culture
91,93,93,62,Agriculture
31,37,86,18,Architecture
90,50,41,22,Agriculture
83,62,43,28,Agriculture
23,3,13,29,Handlooms
11,0,77,38,Architecture
49,7,1,24,Defence
34,28,36,7,Transport
32,54,68,57,Science_and_Technology
32,2,37,15,Transport
60,31,40,71,Space
50,9,61,0,Science_and_Technology
42,73,59,4,Research_and_Development
11,82,13,2,Art_and_Culture
66,33,88,64,Architecture
64,96,83,3,Art_and_Culture
32,86,1,98,Art_and_Culture
39,54,69,95,History
73,91,16,63,Art_and_Culture
42,31,88,97,Architecture
43,49,27,88,History
28,6,65,9,Science_and_Technology
12,92,34,20,Art_and_Culture
11,7,4,45,Handlooms
94,64,64,90,Agriculture
45,56,39,26,Education
1,66,75,65,Research_and_Development
34,87,55,40,Art_and_Culture
86,86,35,12,Agriculture
80,58,44,8,Agriculture
89,71,22,35,Agriculture
7,53,46,85,History
92,66,30,89,Agriculture
25,50,10,57,Education
73,96,9,53,Art_and_Culture
89,91,66,11,Agriculture
33,7,13,80,History
6,33,79,77,Architecture
67,34,73,13,Finance
57,95,92,33,Art_and_Culture
74,87,9,52,Art_and_Culture
28,77,75,19,Art_and_Culture
35,31,93,74,Architecture
88,45,0,15,Agriculture
20,15,4,94,History
35,67,19,69,Research_and_Development
9,36,7,55,Tourism
72,53,42,82,History
23,84,75,57,Art_and_Culture
63,13,0,3,Finance
98,94,56,3,Agriculture
48,54,63,19,Science_and_Technology
98,47,83,9,Agriculture
35,81,27,23,Art_and_Culture
81,6,36,98,Agriculture
95,73,46,25,Agriculture
23,6,75,36,Science_and_Technology
22,32,36,84,History
61,22,48,53,Finance
95,84,43,20,Agriculture
36,18,55,73,Space
11,18,27,37,Handlooms
54,35,78,45,Architecture
12,28,5,3,Handlooms
22,59,60,59,Education
88,81,19,56,Agriculture
98,1,77,44,Agriculture
29,0,1,19,Handlooms
16,46,72,16,Science_and_Technology
61,68,36,70,Finance
83,19,19,3,Agriculture
88,10,25,92,Agriculture
85,1,28,13,Agriculture
12,66,0,2,Research_and_Development
58,86,34,87,Art_and_Culture
18,11,69,79,History
48,19,58,57,Defence
99,4,68,54,Agriculture
11,36,32,3,Energy
60,37,50,23,Defence
18,93,77,33,Art_and_Culture
75,8,11,29,Finance
8,97,19,81,Art_and_Culture
70,52,52,18,Finance
27,43,87,30,Architecture
77,98,42,59,Agriculture
94,85,97,59,Agriculture
51,23,88,18,Architecture
82,80,49,48,Agriculture
15,73,28,62,Research_and_Development
68,29,56,82,History
98,58,38,21,Agriculture
11,86,94,23,Art_and_Culture
24,95,55,75,Art_and_Culture
51,80,42,29,Art_and_Culture
84,80,49,57,Agriculture
99,13,22,30,Agriculture
52,8,43,99,History
22,39,37,63,Space
15,65,83,18,Architecture
56,24,22,47,Defence
38,72,44,44,Research_and_Development
52,21,51,99,History
41,3,79,93,Architecture
57,25,49,54,Defence
38,57,7,54,Education
13,28,84,96,Architecture
94,97,0,17,Agriculture
4,86,7,62,Art_and_Culture
34,36,28,91,History
86,74,95,46,Agriculture
92,69,4,74,Agriculture
74,17,85,56,Architecture
17,84,46,44,Art_and_Culture
75,41,33,32,Finance
8,99,64,16,Art_and_Culture
73,40,54,69,Finance
57,37,89,3,Architecture
16,33,42,19,Energy
6,16,73,46,Science_and_Technology
45,36,29,90,History
12,24,81,14,Architecture
39,75,16,69,Research_and_Development
41,86,25,46,Art_and_Culture
8,85,7,77,Art_and_Culture
49,84,46,74,Art_and_Culture
26,26,75,8,Science_and_Technology
65,56,90,89,Architecture
4,30,71,15,Science_and_Technology
28,5,88,68,Architecture
36,90,45,60,Art_and_Culture
37,39,67,9,Science_and_Technology
82,97,32,49,Agriculture
7,11,0,2,Handlooms
64,52,18,76,History
85,70,30,93,Agriculture
16,9,79,69,Architecture
70,44,13,80,History
88,16,52,50,Agriculture
44,25,47,18,Medicine
3,84,68,41,Art_and_Culture
35,91,89,34,Art_and_Culture
69,61,61,45,Finance
30,45,91,25,Architecture
18,63,65,68,Research_and_Development
60,1,63,92,History
53,53,69,63,Science_and_Technology
38,64,62,36,Research_and_Development
90,50,72,83,Agriculture
73,52,32,48,Finance
89,35,40,20,Agriculture
18,25,88,73,Architecture
38,28,47,63,Space
66,20,12,4,Finance
44,10,72,99,History
12,39,76,69,Architecture
91,10,30,89,Agriculture
57,35,74,3,Science_and_Technology
19,58,67,38,Science_and_Technology
91,38,97,34,Agriculture
71,98,3,0,Art_and_Culture
60,53,18,23,Defence
38,97,69,56,Art_and_Culture
0,54,97,99,Architecture
2,23,81,69,Architecture
76,21,12,40,Agriculture
91,68,22,53,Agriculture
61,55,82,45,Architecture
62,32,74,59,Finance
24,35,0,59,Tourism
55,19,87,56,Architecture
32,82,53,30,Art_and_Culture
37,98,70,83,Art_and_Culture
5,80,88,23,Art_and_Culture
57,61,84,88,Architecture
43,97,14,35,Art_and_Culture
44,72,64,84,History
31,25,75,29,Science_and_Technology
44,65,70,23,Research_and_Development
60,72,14,29,Research_and_Development
46,72,20,85,History
20,39,18,91,History
79,16,59,6,Agriculture
84,0,92,34,Agriculture
74,88,88,54,Art_and_Culture
35,60,32,91,History
98,42,48,13,Agriculture
18,41,95,9,Architecture
19,24,34,79,History
56,38,43,15,Defence
17,34,89,53,Architecture
46,2,10,94,History
48,43,98,88,Architecture
13,50,71,76,History
14,93,77,69,Art_and_Culture
30,97,73,43,Art_and_Culture
0,11,65,72,Science_and_Technology
53,18,45,44,Defence
2,43,8,99,History
15,58,2,55,Education
86,48,84,83,Agriculture
56,60,25,81,History
74,16,71,56,Finance
11,73,47,20,Research_and_Development
73,56,65,67,Finance
95,54,69,49,Agriculture
15,46,27,32,Education
71,11,92,90,Architecture
75,61,25,6,Finance
23,79,24,69,Art_and_Culture
27,87,11,14,Art_and_Culture
7,82,4,81,Art_and_Culture
91,7,97,31,Agriculture
35,94,47,74,Art_and_Culture
89,20,36,19,Agriculture
7,80,78,87,Art_and_Culture
57,86,43,14,Art_and_Culture
59,79,99,47,Art_and_Culture
49,69,14,70,Research_and_Development
27,71,42,20,Research_and_Development
91,24,47,41,Agriculture
40,81,86,25,Art_and_Culture
99,88,69,13,Agriculture
63,11,45,56,Finance
26,14,42,36,Forestry
62,58,20,57,Finance
16,25,22,20,Handlooms
72,25,79,81,Architecture
32,46,46,68,Space
83,31,14,2,Agriculture
76,9,24,86,Agriculture
91,15,35,89,Agriculture
28,70,74,36,Research_and_Development
12,16,50,87,History
45,22,14,48,Tourism
34,25,67,18,Science_and_Technology
5,84,20,88,Art_and_Culture
81,85,12,84,Agriculture
68,6,85,11,Architecture
46,13,18,60,Defence
24,78,33,40,Art_and_Culture
65,6,77,32,Architecture
9,8,67,49,Science_and_Technology
55,47,51,67,Space
29,71,26,70,Research_and_Development
4,58,28,85,History
32,86,27,32,Art_and_Culture
64,92,34,80,Art_and_Culture
17,81,7,23,Art_and_Culture
95,94,15,60,Agriculture
48,93,35,60,Art_and_Culture
10,38,29,97,History
84,98,17,27,Agriculture
25,17,1,57,Tourism
62,58,48,42,Finance
88,16,76,40,Agriculture
85,13,3,38,Agriculture
58,30,89,85,Architecture
